GSM864192	GSM864193	GSM864194	GSM864195	GSM864196	GSM864197	GSM864198	GSM864199	GSM864200	GSM864201	GSM864202	GSM864203
0610005C13Rik	10.1312	11.2047	10.9432	11.1146	11.1519	10.5635	11.2896	11.3758	11.4069	11.4953	11.5058	11.3971
0610006L08Rik	4.78005	5.74187	5.53173	4.52977	4.91304	4.45851	5.83873	5.50694	4.67454	5.31784	5.55844	4.87328
0610009B22Rik	10.0419	10.3687	10.3343	10.2007	10.248	10.0877	10.6093	10.4935	10.4397	10.2865	10.4983	10.2425
0610009L18Rik	6.86869	7.08838	7.15344	7.43055	7.47386	7.14789	7.58609	7.52175	7.65665	7.27216	7.75775	7.56586
0610010K14Rik	7.89402	8.07642	7.75986	8.26869	8.40851	8.01509	8.49643	8.43146	8.27882	8.20411	8.43964	8.23482
0610012G03Rik	11.1628	11.3445	11.2468	11.301	11.4262	11.2075	11.3529	11.4403	11.5375	11.2303	11.2272	11.2816
0610025J13Rik	5.29462	5.68732	5.30249	5.41687	5.42403	4.95411	5.53614	5.82331	5.49046	5.49996	5.25457	5.38877
0610030E20Rik	8.753	8.81822	8.76551	8.53863	8.58831	8.62399	8.8957	8.924	8.94638	8.43106	8.58442	8.70891
0610033M10Rik	5.93315	5.84313	5.82024	5.94374	5.81159	5.57278	5.69105	6.06644	5.94004	5.67163	5.80779	6.02262
0610038B21Rik	5.18277	5.29491	5.38649	5.20583	5.49977	5.26722	5.38559	5.4827	5.43572	5.80581	5.68306	5.28008
0610039K10Rik	3.94261	4.03591	4.00668	3.8524	4.06984	3.65568	3.88486	3.83391	4.02223	3.9634	4.10895	3.94869
0610040A22Rik	4.33377	4.16969	4.60452	4.13697	4.25037	4.08493	4.49632	4.43816	4.5414	4.52861	4.4675	4.08581
0610040B10Rik	4.73742	5.18091	5.13812	5.30004	5.36333	4.93069	5.50253	5.84113	5.56845	5.59775	5.35679	5.37807
0610040F04Rik	6.43233	6.3364	6.46031	6.21452	6.2076	5.99103	6.39387	6.3364	6.27509	6.05834	6.34581	6.40323
0610040J01Rik	9.65988	9.04616	9.21154	9.28469	9.67061	9.84635	9.02324	9.07503	9.35253	9.09222	9.07366	9.05871
0610042E11Rik	4.26533	3.6147	4.61464	3.65245	4.33746	3.77278	4.43611	4.54132	4.36625	4.21201	4.62703	3.96682
0710001A04Rik	4.11231	4.5042	4.31001	3.94566	4.12874	3.94968	4.13089	4.08889	4.11231	3.97483	4.02178	4.05733
0710001D07Rik	5.70335	6.10484	5.81334	6.14571	6.09289	5.96751	6.07712	5.98601	6.23639	6.0674	5.98156	6.13414
1110002E22Rik	4.65999	4.77642	5.20645	4.55491	4.59733	4.68653	5.01562	4.73721	4.67255	4.64792	4.77655	4.561
1110002L01Rik	6.33674	6.34376	6.66852	6.49655	6.30128	6.31037	6.32131	6.30375	6.18553	6.64341	6.52104	6.66015
1110004F10Rik	9.52357	9.45243	9.04844	9.62389	9.63384	9.81085	9.45317	9.51272	9.41772	9.66259	9.51714	9.63957
1110004M10Rik	5.8213	5.53729	6.08154	5.55993	5.638	5.95207	5.93429	5.93716	5.96914	5.89651	5.87373	5.65426
1110006O24Rik	5.2222	4.93985	4.79009	5.07711	5.43877	4.93928	5.57474	5.16157	5.00345	5.34059	5.68482	5.28099
1110008E08Rik	5.17611	5.10601	5.42744	5.01105	5.01982	4.7522	5.04447	5.17209	5.10151	5.03446	4.97228	4.99893
1110015O18Rik	3.11163	3.3432	3.25198	3.16179	3.16179	3.11817	3.30034	3.27281	3.1254	3.30585	3.19402	3.48229
1110017D15Rik	4.81069	4.55143	4.96638	5.07548	4.93898	4.6943	4.788	4.86104	4.96638	4.96638	5.25171	5.03055
1110018N20Rik	3.73022	4.06061	3.80174	3.89035	4.1005	3.9484	4.57138	4.7306	3.6747	3.94421	4.43383	3.93671
1110019B22Rik	5.19217	5.52475	5.56201	5.39445	5.33883	4.93854	5.49616	5.33313	5.57168	5.46551	5.45754	5.38851
1110019D14Rik	4.33529	4.63582	4.624	4.23668	4.53978	4.38987	4.38452	4.48082	4.50515	4.6036	4.28165	4.62285
1110020A21Rik	6.44153	6.43895	6.75538	6.62725	6.78509	6.47682	6.71409	6.77609	6.79455	6.81296	6.52104	6.78811
1110020C17Rik	5.68779	5.74707	5.9488	5.53462	5.95136	5.61999	5.67889	5.79725	5.61837	5.75796	5.55104	5.71464
1110028F11Rik	5.07215	4.9632	5.29903	4.77184	5.0148	4.87369	4.99809	5.33821	5.17089	5.06667	5.25764	5.1992
