"","13WT_S76_L005_R1_001","412TG26K15OE_S70_L005_R1_001","413TG26_S67_L005_R1_001","435TG26K15OE_S71_L005_R1_001","441TG26_S68_L005_R1_001","443TG26K15OE_S72_L005_R1_001","49K15OE_S73_L005_R1_001","500K15OE_S75_L005_R1_001","50K150E_S74_L005_R1_001","649TG26_S69_L005_R1_001","964WT_S77_L005_R1_001","974WT_S78_L005_R1_001"
"Xkr4",0.102240265265156,0.304689982220308,0.587897849321781,0.757987456955642,0.228795693358645,0.601462804715153,0.0611866465592922,0.0503167812199897,0.022176964025998,0.301101584942048,0.152338098909918,0.179236396245394
"Rp1",0.0152474042874146,0.00783437093208944,0.0160381114221663,0.00441566382376757,0.00897921141366377,0.0036168545364411,0.00456247611770736,0.0140698047825056,0.0124024449477496,0.011226050678972,0.00436897074001975,0.00786178629871953
"Sox17",29.5871942680789,26.7591978844283,27.1800517916192,25.7921544230291,34.9547182180484,26.1022112081583,30.4505873096213,27.9188527818413,24.5118923554038,27.4152000447147,24.791479609838,17.3841719288919
"Mrpl15",5.58063435437578,4.53516366627741,5.66847787975543,5.04056697043779,4.95830729075397,4.59025332020476,4.98585674191556,6.31121674083532,7.16514427410688,5.73017603259863,5.65628937254431,6.86759221416035
"Lypla1",65.298390715619,39.3734665452045,43.9479058239987,47.7626729485034,39.3356056659106,45.2368960963463,54.9072116632791,80.0396670141456,95.7288295156915,51.5545234434506,50.8106825737892,95.1325048078327
"Tcea1",6.25107827128004,6.18242076080259,5.41760305835723,6.45516541936849,5.2721264772744,5.00260147219646,5.17025659012511,4.27102341636949,6.25592914884978,6.80273829516172,6.11766854282253,5.20817661007212
"Rgs20",0.0443542925555403,0.0455799523329143,0,0,0,0.0140284445549906,0,0,0.0160348363053077,0.0290278063318584,0,0.0304929689827375
"Atp6v1h",33.9012472937428,32.7319264237799,39.5291640647353,32.6716664652803,36.9392670158148,32.3097441259505,34.2755579643138,38.6569239265185,41.4171301230612,38.0608453991047,32.3692841194659,42.7353096260569
"Oprk1",0,0,0,0,0,0,0,0,0,0,0,0
"Npbwr1",0.0201268214503562,0.0103414969494956,0,0.0116574960157807,0,0.0381944541350936,0.012045085243579,0.012381580644193,0.0218285718500749,0.0395161848927194,0.0346026742711044,0
"Rb1cc1",13.4199852471296,11.0434976058902,10.9451574702973,14.8310879938628,10.6823050437303,13.4589645669032,11.2596212346324,13.1896272688174,14.548944508664,12.1077736327473,14.8797458005845,12.0826896537853
"Fam150a",0,0,0,0,0,0,0,0,0,0,0,0
"St18",0,0,0,0,0.00710277338491972,0,0,0.0222591117050936,0,0.00592005172147055,0,0
"Pcmtd1",25.8488090837885,26.6798603655272,23.8329554391073,26.3073856992086,19.8811093428543,25.4428793741259,21.7082456714595,23.3282042472139,26.6711520659079,25.5843883538698,29.3744165349632,23.5950013049275
"Sntg1",0.00511623690407017,0.00525761590987853,0,0,0,0.00970902813734272,0,0,0.00554882176194413,0,0.0234559943833503,0.00527601425596387
"Rrs1",7.07524601316868,6.46911129781526,6.10638562624434,6.28359526942798,7.64948578279666,4.25176262117811,6.23194360568226,8.50418709781025,7.67346778210104,7.07029059883988,6.82015105438231,8.13807165730575
"Adhfe1",25.8859648974263,10.5578019267865,14.1931154919015,14.2459429202239,14.651786031392,14.0272691867466,27.7533038531686,47.7079066068396,50.3341276182763,16.4879928170869,24.6226853814575,60.0653835002963
"2610203C22Rik",3.58111926721519,4.87610302913134,3.51570860794533,4.94348993293778,3.7960643992329,3.25634564993535,3.3933278701469,3.37797366098729,3.26895574872214,3.86706337557379,3.89929059400712,3.72373034437266
"3110035E14Rik",0.186528333340986,0.179702573286184,0.0817505867753661,0.148551687540912,0.233424278637068,0.132739809852619,0.293027784469773,0.186465749795635,0.164368392613146,0.125888868909878,0.267237890197505,0.0601104730574359
"Mybl1",0.864742583887135,0.781388901931955,0.825946648643429,0.837646288755109,0.965814717233938,0.792213059925649,0.767347332636286,0.742924649840933,0.565948646562336,0.746446778272465,0.871509730317655,0.58424871188554
"Vcpip1",8.30672619202758,8.0419476993075,7.17930019701853,9.04868581947935,8.75203736489808,8.32459014216365,8.18943832801677,8.73622318555337,8.15254766881053,9.35270591236435,9.47964834570518,7.84057314838481
"1700034P13Rik",0.149213302800633,0.127780477702603,0.209268369520556,0.0576164327848227,0.117162481457806,0.117983538041136,0.327426373435227,0.336573462598371,0.404573731277493,0.170892952203387,0.228028689708019,0.307746309452286
