"","13WT_S76_L005_R1_001","412TG26K15OE_S70_L005_R1_001","413TG26_S67_L005_R1_001","435TG26K15OE_S71_L005_R1_001","441TG26_S68_L005_R1_001","443TG26K15OE_S72_L005_R1_001","49K15OE_S73_L005_R1_001","500K15OE_S75_L005_R1_001","50K150E_S74_L005_R1_001","649TG26_S69_L005_R1_001","964WT_S77_L005_R1_001","974WT_S78_L005_R1_001"
"Sgk3",8.11837189038347,6.31138246604496,5.95253078555462,8.34751389081604,6.71975822589595,6.69314313253732,6.59935217720478,5.94591702575474,7.64324724469111,7.5218354808329,7.26661906282039,6.1357604936172
"Mcmdc2",0.0582124753581788,0,0,0.0337167844028692,0.0342813841163262,0,0.0696756047305814,0.0179055212449513,0.0789180251375603,0.0428595048836428,0.0667204979286682,0.030015209970082
"Snhg6",7.85074610853256,7.88006822101519,11.778672749329,7.29661866100274,9.99925644883933,5.63016283988929,9.83376148583888,9.32226546998509,9.90062497180302,7.61730291341107,9.31205858590799,8.09592072556665
"Snord87",0,0,0.704159783927275,0.581614530949494,0.591353876006627,0.476398394144478,1.20190418160253,1.23548096590164,0,0.985768612323785,2.30185717853905,0
"Tcf24",1.43815971639532,2.00790681454751,2.48993606457573,1.64299118166245,2.82700619634989,1.57163143482047,1.59077440800463,2.08672933028822,2.2374460961371,2.41468574123947,2.06896773095061,2.72067125737623
"Ppp1r42",0,0.0751097837459762,0.102507194774987,0.0564452134954263,0.0573904089501514,0,0,0.0299756037628594,0.0792699219053868,0.071751026864223,0,0.025124206902826
"Cops5",23.7794865429896,19.4087597216696,21.8139711786832,22.0271035125553,22.3456273146334,19.9884602819768,24.242663067217,23.290130548699,28.7097059022773,23.5116300939354,22.2104729886694,26.9236433431635
"Cspp1",5.30773034247965,4.38456669011689,4.73925087464512,4.5866597461373,5.07553843508674,4.55040340277459,5.62774932253807,7.31782697051846,7.41312137157232,4.81677244538092,5.77050323926361,6.33587027544853
"Arfgef1",18.7880991546422,18.9819659738881,20.2822416377598,19.2705858548989,18.9407908891007,16.8858267502485,19.06508134018,22.4928766307043,23.8385735280322,20.9869885592206,21.655010691912,24.7558350819346
"Cpa6",0,0,0,0,0,0,0,0,0,0,0,0
"Mir467e",0,0,0,0,0,0,0,0,0,0,0,0.696625736851084
"Prex2",43.4842936997053,53.6517638253415,43.0389106872364,59.3596195810727,49.3148006879727,47.4867889247227,37.6053009425688,31.6602075070008,33.9452224205315,52.4523716007336,50.6391089526185,35.5916158178784
"A830018L16Rik",0.00448017754701044,0.0230199003602664,0,0.00518985593756934,0,0,0.0214496344962226,0.0220488584292105,0.00485898271255737,0.0263885966400434,0.00513497622126763,0
"Mir6341",0,0,0,0,0,0,0,0,0,0,0,0
"Gm17644",0,0,0,0,0,0,0,0,0,0,0,0
"Sulf1",24.7337615013659,10.7148028776191,10.1130316336397,14.6532424096782,6.9454901785581,15.7640463687405,18.7884014079252,22.1609318155951,20.1560562632678,20.1563739940942,22.8680803004449,14.407291529304
"Slco5a1",0.00873084535245156,0.0224302706718,0.0061224091188601,0.0202276937094407,0.0257080171686585,0.00414210799749635,0.0156751690938645,0.0161130756920552,0.00473452515982121,0.0128563407317519,0.0250172469762498,0
"Prdm14",0,0.0147245687379629,0,0,0,0.0135956348502474,0,0,0,0,0,0.0147760954596258
"Ncoa2",15.6478844249921,15.2109581937445,14.4148272436533,14.5630953161621,12.0309876841227,14.0404403867341,15.5779250246448,14.499188225792,15.3126009601338,13.7669134096601,17.9608200936925,15.6513897592166
"Tram1",55.4352736565837,56.2928930361622,57.646986743049,57.0630716365704,59.427788339907,53.6980829820898,49.9676681316163,51.838436995544,60.5967957090858,61.3026562451964,50.0159770317461,59.5677720621105
"Lactb2",78.0492324022922,32.5963326201238,32.4741923881755,45.3659334140605,39.4699724299325,43.3055481422314,60.4251435613507,114.657478659068,139.251319578902,43.2965037569663,63.1882362736211,160.181464807102
"Xkr9",0.0578724492170679,0.0198238871949833,0,0.0223465603791602,0.227207615911165,0.0732159525787983,0.0923581614107863,0.189876617812505,0.0627656442916484,0.0568122097445172,0.0442205169293588,0.139252808249048
"Gm5523",0,0.0306673146486248,0.0418536739041111,0.103709579012681,0.0702974888746834,0,0,0.0734342100214628,0,0.0292959346634378,0.0684086069124056,0.0307746309452286
"Eya1",0.718284336335567,0.228469729614726,0.251844488889064,0.455653823556289,0.271927513063577,0.381338001112657,0.583386862830779,0.336665008890113,0.370960125525784,0.35256258309578,0.352827820692062,0.211633135245899
"Msc",0,0.0444738575859498,0.0606963587776568,0.0501333433782907,0.101945688583554,0,0,0,0,0.0212425385299826,0,0
"Trpa1",0,0,0,0,0,0,0,0,0,0,0,0
"Kcnb2",0.0209949778097707,0.0503419941915173,0.0196299958600935,0,0.024727926252302,0.0199209725937228,0.0753878494017032,0,0.0151800880147818,0.0137402292921379,0,0
"Terf1",7.2735563952499,5.77425780907209,5.62893160608531,5.23760810410602,5.57614373557219,5.96884337213823,5.50978737924228,7.31646598457888,6.05854514092428,6.32013288880078,6.51533163916731,5.6762097076755
"Sbspon",0.0946429355100084,0.222304551601385,0.568862707539501,0.0626484356481259,0.27071440175267,0.0513151108685464,0.0970970627058812,0.116444530629012,0.146635893869135,0.238908986829564,0.201454385530801,0.250967787293513
"4930444P10Rik",0,0,0,0,0,0,0.124045898798587,0,0,0.0508695099804464,0,0
"Rpl7",81.2771097567061,67.5632496502412,74.4477271234236,72.8857137820094,73.9655033464323,63.5167222306626,63.4407022844371,61.3913537622356,72.9897842910533,88.8575842069053,72.0693472356844,64.7608073802559
"Rdh10",12.4980282225534,10.4976422881858,13.0326322362069,11.8710186748306,16.0358680258808,10.3225879494626,12.2850842231077,13.9229822314223,14.5555580277179,14.4781275013498,12.4320347398656,15.8933871814914
"Stau2",6.14521305395741,5.54876776116468,6.13033223654333,6.25487184149144,4.93627020926778,6.46517128662507,6.12430483677469,6.40611843392251,7.54321422375914,6.46173030860269,6.85180843542637,6.62879161363488
"Ube2w",9.78989751379237,9.28307019873376,9.75788086941266,10.9636542169324,10.5360108902715,9.1054801024764,10.2227300029437,9.33952242476449,10.5222501490691,11.449758441721,8.66002920282987,8.7168923582538
"Tceb1",32.9134859561932,30.94444441346,33.3926578999983,29.9248288929155,30.1509978329997,28.0551263734926,26.8685365162643,29.8688843358503,33.6288463636491,34.0673374671562,26.9329341497334,24.5533217826256
"D030040B21Rik",0,0,0,0,0,0,0,0.0491888045965143,0,0,0,0
"Tmem70",13.7290022715409,11.4410154138465,12.6057611203517,11.6544537593147,13.3908192938683,11.6018962269134,13.5311372038497,17.9208939413088,20.1245064921946,14.7831142820427,15.3175836670045,19.5996375038991
"Ly96",7.76354587407472,8.42130563199426,7.43162995839664,9.6357034231931,9.07134884421443,7.77564344140955,8.33360096729714,7.58089481564853,8.62043968316043,11.1900267850022,9.32194897179497,5.78210914252019
"Jph1",0.332354240292568,0.420965832554505,0.346879627281004,0.528256509699498,0.282206322354733,0.300684986027532,0.277535602575163,0.475481545021434,0.494578130742471,0.364203256810285,0.372070527922788,0.358674578470238
"Gdap1",0,0.00969794430722324,0.0132354137695246,0,0,0,0,0,0,0.00926427194716283,0,0
"Pi15",0.826481772236468,1.62142960867198,2.55910156920558,1.69720883348861,3.26162883163904,1.57349785938287,1.29113988134884,0.614082045885821,1.23395280235021,3.5193206734356,0.793497350365947,0.907636017101947
"Crispld1",4.88772272426546,5.65182685855216,6.55575219704235,6.63963947313586,4.35854082450616,5.71131035376503,5.41726957139672,4.25633370204906,3.98328389404752,5.85432377828137,5.68712716539947,3.93090983063374
"Crisp4",0,0,0,0,0,0,0,0,0,0,0,0
"Defb44-ps",0,0,0,0,0,0,0,0,0,0,0,0
"Defb18",0,0,0,0,0,0,0,0,0,0,0,0
"Defb41",0,0,0,0,0,0,0,0,0,0,0,0
"Gm15386",0,0,0,0,0,0,0,0,0,0,0,0
"Tfap2d",0,0,0,0,0,0,0,0,0,0,0,0
"Tfap2b",1.66856364503667,2.83625494528311,4.74436047589758,1.12530156864728,6.02358769731143,1.52356631926181,1.22427120805192,3.07939165386065,2.78883337986116,4.30815147459131,2.31194683242837,4.18382574962086
"Pkhd1",2.21579677122236,2.35676700004295,4.79643491434373,2.09737542024021,6.93230682368165,2.17334657254433,2.83444111144012,5.62570065127876,5.7444838273317,4.46889904324508,3.65629928537279,8.39313310426399
"4930486I03Rik",0,0,0,0,0.0556745379446443,0,0,0,0,0.0464038659745293,0.108357144536826,0
"Mir206",0,0,0,0,0,0,0,0,0,0,0,0
"Mir133b",0,0,0,0,0,0,0,0,0,0,0,0
"Il17a",0,0,0,0,0.0747398579410596,0,0,0,0,0.0934417728163451,0,0
"Il17f",0.0630799870922879,0.0324115507109829,0.221170730096003,0.0730721142449279,0,0.0598531089417511,0.0377508104578044,0.31044343455593,0.102620229970895,0.0619243440678778,0.10844912853049,0.19514982441499
"Mcm3",8.3551694199186,8.61251045950699,9.20824332827975,10.1857108881668,12.3274538767535,6.81616163929792,8.79855497044929,6.52587381989071,6.78573603836653,10.1609995424144,9.04511827207974,6.04056100647899
"6720483E21Rik",0.0663466292809957,0.136360024062635,0,0,0.156286381516037,0,0,0,0.215868983760205,0.0325655702285536,0,0
"Paqr8",2.78235547591072,3.94765354729747,3.79609034647491,3.61258944178448,3.2572627749451,3.44558910950468,2.73664336734114,2.61659215425458,2.58000878931503,3.67209959319256,3.0444925488098,2.33180492685787
"Efhc1",0.80769809559473,0.812725505735634,0.589988949395588,1.01361083111126,0.515292054998528,0.750413774834464,0.624358739265444,0.703910803942147,0.45624483282652,0.875494677883579,0.462873454380136,0.277640692223258
"Tram2",13.3113294776144,10.8774096892554,9.59683665231532,13.3762973563981,10.3891091022171,9.48546903333999,12.0934042330165,10.3593745738011,11.3929126968695,9.63003740053574,12.407672597269,10.3641872216406
"Tmem14a",2.64011457449765,2.99568135764546,3.00844579780032,3.2813219503309,2.39693103257757,3.0269458292644,2.27125194347243,2.33470237301768,2.53524885935992,2.64574166416436,2.11188154907413,2.38224345244412
"Gsta3",3.92310503574583,2.89320398880722,5.69625902227877,5.96136831660158,7.66482775435174,3.1312098179111,5.24806608488558,8.77344961686549,8.50961791054722,4.28166453787592,6.18927933285439,9.0193562016527
"Gm4956",0.906197863350185,0.26606833963441,0.317730634211087,0.112472496403125,0.495542185294752,0.491337716608939,1.00717057726623,1.75205837324727,1.50932785393314,0.190627728167143,0.148377553320462,1.36837198310034
"Khdc1a",0,0,0,0,0,0,0,0,0,0,0,0
"Khdc1c",0,0.0452379226748079,0,0,0,0,0,0,0,0,0,0
"Khdc1b",0,0,0,0,0,0,0.0197910345880256,0,0,0.0162320599270049,0.0379033002251647,0.0170513642753937
"Kcnq5",1.53300635679642,2.07314122543365,1.89618729207694,1.27638558525564,1.8933490574493,1.93439588636716,1.88585309411331,1.22468378267528,1.41438512759791,2.21035308760452,1.25678763716509,0.713592266258632
"Rims1",0.21011669169885,0.215922929668889,0.102498793234558,0.169321761653356,0.225956214240054,0.208036279321513,0.131213537406325,0.123639231158585,0.208066490371282,0.0717451461145415,0.0628242308379235,0.113049664696758
"4933415F23Rik",0,0,0,0,0,0,0,0,0,0,0,0
"Mir30a",0,0,0,0,0,0,0,0,0,0,0.59977968736581,0
"Mir30c-2",0,0,0,0,0,0,0,0,0.479708852800456,0,0.506956640511577,0
"Ogfrl1",4.04215880128147,4.42973026145671,4.45347628827333,4.10492105369556,3.98394764442615,3.79171422127296,3.89254186642867,3.80310831597013,4.50038998898925,4.38223395907935,4.29887509612996,4.10511594930103
"B3gat2",4.79462942992307,2.32328674751953,3.32628589551134,2.66834864026886,4.84326292753258,3.35130682043863,6.31061791424189,8.7646806983998,9.4470149372166,2.81402419940512,6.27764815373326,13.9797029327441
"Smap1",14.7612284389502,15.3497162221858,14.2064236407328,15.1946796210555,14.0003030144569,15.4114880505739,15.654801965373,12.6636799004918,14.4437742557391,16.2898263186505,13.1349725250385,12.3356885125167
"1110058L19Rik",11.3077733383262,11.2195474071326,10.1559477082165,12.0020125996834,12.4654205347124,10.4121975859643,10.2675412695221,13.158705819738,15.8886476402814,11.6474399306203,12.3858551930685,12.3502238954484
"Fam135a",7.27914959137963,7.19100395953628,6.77635379510283,6.8149718103029,6.3133221443095,5.9528067781084,7.24785206032712,7.59877151982955,8.5301684299739,7.3939505300742,7.50016754872208,7.49462434535552
"Col9a1",0,0,0,0,0,0,0,0,0,0,0,0
"Col19a1",0.59209740872283,0.188332569754503,0.27185831157124,0.200050681960052,0.0705675560630181,0.334409800480852,0.329035806118849,0.737163277890467,0.967062468195341,0.204129470755343,0.339317592055558,0.839558905965948
"Lmbrd1",27.9344902928204,32.2610822507831,32.6157095763792,31.377629333461,25.5159546320842,31.6444452609025,28.2806359852481,25.6964918180584,28.68964985454,29.8578928463457,29.7111190754419,27.293336431468
"Bai3",0,0.0276572305233885,0,0.00779418241402798,0.0237740964276478,0.00638418710008899,0,0.0082783041902138,0,0,0.0154235269116163,0.00693850335509048
"Gm20172",0,0,0,0,0,0,0,0.0294731113722506,0,0.0235160790818698,0,0
"4931408C20Rik",0.0857864520834855,0,0,0.0695627631105605,0.0505197261885135,0.0325592068036864,0.061607649114699,0.0633287403440692,0.0372159257771769,0.0252644460789518,0.088492085021185,0.0265396551790415
"Gm597",0,0,0,0,0,0,0,0,0,0,0,0
"Mir6342",0,0,0,0,0,0,0,0,0,0,0,0
"Phf3",16.112727754389,14.1139207553787,15.1202970346907,15.3122852176704,13.2247092836874,14.5937569173051,14.9685633197464,17.7808930388201,15.7110517969425,14.510263652584,17.9044667974672,15.2882676424262
"Ptp4a1",1.89864802999333,2.42271042994307,2.35993293533195,2.29321495855116,2.57537549003419,1.92105431399989,1.58323004207706,1.62745966905764,1.92255318385613,2.94154881870704,1.41294672293709,1.57748865089795
"Gm13363",0,0,0,0,0,0,0,0,0,0,0,0
"4931428L18Rik",0,0.0349001889739834,0,0,0,0,0,0,0,0,0,0
"Lgsn",0,0,0,0,0,0,0,0,0,0,0,0
"Pih1d3",0,0,0,0,0,0,0,0,0,0,0,0
"Gm4850",0,0,0,0,0,0,0,0,0,0,0,0
"Khdrbs2",0,0.0280947805279896,0.0383427696914042,0,0,0,0,0.0336370829568511,0.029650878318792,0.0268384390404563,0,0
"Gm9839",0,0,0,0,0,0,0,0.0318112705207798,0,0,0,0
"Gm5415",0,0,0,0,0,0,0,0.0731795022492433,0,0,0.011361888421284,0
"Prim2",3.87335382280145,3.92242093508107,3.7182202355755,3.72456997704195,4.03054352330833,3.7644152460384,4.208489388921,2.75294670691544,3.58907676103337,4.20847369107462,3.49122771461617,3.04421216483255
"1700001G17Rik",0.208965761514947,0.0858960781496915,0.351683851590225,0.290480148190748,0.295344343022432,0.396552094113514,0.0500230086831199,0.359943273530399,0.181307282948204,0.246164940310327,0.335309903960413,0.34478664141111
"Rab23",6.87272415640891,6.06706378512692,5.94588943468611,5.96624774471658,5.68580096248672,6.38758194529086,5.83755244699441,6.70359251077363,6.53781051180153,6.08838991605283,6.46310400352669,6.39569806765777
"Bag2",1.76047033948912,2.79782220170388,4.04804583222985,2.58473983836838,5.95524305545407,2.07830439935867,2.76868395773013,3.24900862272646,2.55316116697102,3.97892058065237,1.66583438237523,3.25092010530506
"Zfp451",5.58880473253708,5.76339412047986,5.07877102425801,5.04297863182879,5.3044983677118,5.02380713318438,5.55489494206518,5.67790883027491,5.27443428300797,4.81264584658428,5.64145345278647,4.89378354547216
"Gm15455",0,0.012659418679555,0.0172771299769955,0.0285407661076011,0.0145093457640883,0,0.0147448457292088,0.0303135250254381,0.0133605913909941,0.0120933152042374,0.0564779281206532,0
"Bend6",0,0,0,0.0187781305803938,0.0572777314456681,0,0.0388049343100293,0.0598335022753411,0.0527428581613067,0.0477401029528535,0.018579562741262,0
"Dst",11.0108734150497,14.6507598800885,15.8541454474492,17.1076211738402,11.7798496314984,16.0715263463497,16.9145148095683,22.780974270332,18.7085972899315,11.5568317010682,30.1827867178563,28.7335767120326
"Mir6896",0,0,0,0,0,0,0,0,0,0,0,0
"Mir5103",0,0,0,0,0,0.446246597046727,0,0,0,0.92337819382228,0.539042503835095,0
"Ccdc115",6.36305033432752,6.31494868034351,5.43999570316133,6.33601659698293,6.67310766825074,4.98304337898688,6.3119355085449,6.19334651939079,6.19204248236506,6.41761383976188,5.71954131195349,4.69660577425408
"Imp4",17.2306532816558,16.3656281436134,15.083234073327,17.5679138801516,15.7995872394336,16.1297608361607,16.1548961785962,15.4273063430039,15.6953740437833,15.7635315133893,16.3407295615675,14.9237118726035
"Ptpn18",2.43285033498273,3.20398378217101,3.74328297088358,1.83321350568823,4.36767281083598,1.45675542011121,2.37477317000678,3.89416060326785,2.12621113904945,4.03456981954261,2.73427853661807,3.06905044906422
"Prss39",0,0,0,0,0,0,0,0,0,0,0,0
"Cfc1",0,0,0,0,0,0,0,0,0,0,0,0
"Prss40",0,0,0,0,0,0,0,0,0,0,0,0
"Amer3",0,0,0,0,0,0,0,0,0,0,0,0
"AA619741",0,0,0,0,0,0,0,0,0,0,0,0
"Arhgef4",1.51956760357653,1.63189888782402,1.6127697925173,1.63340676304239,1.54789164891344,1.62368649441283,2.11373937317202,1.43168299106877,1.54411810540338,1.04824178893384,1.27094067134885,1.25644177667135
"Fam168b",66.02168752184,66.2978142188625,59.7906508184831,63.7882302087375,60.9455357841082,63.699154257689,66.0666381430135,58.3198088937628,53.9071879025747,63.5628646498802,62.7532485261913,50.0727174571829
"Plekhb2",43.3974163456428,40.6801171804047,41.6271865244819,44.2592812273608,39.2793485319845,46.372928051413,47.283908245144,62.2125322144118,60.1743837756429,41.4952889591347,42.0003704496679,64.6349968276368
"Mir7669",0,0,0,0,0,0,0,0,0,0,0,0
"Hs6st1",19.6410284950807,16.611063538945,22.6281623493274,14.6628166692021,22.4272428307283,16.74990621714,17.7451343918881,26.9433848503594,22.6669204853236,19.4675385136113,18.6299408834193,28.1357001354442
"Uggt1",16.8467090657639,20.6740463107568,21.4514101060437,21.684192390675,20.1861975992915,20.0689880603382,18.8047620022442,18.1099424472384,18.271121457821,19.7899408545405,21.327551886703,17.5128577781751
"Mir6897",0,0,0,0,0,0,0.717265398698284,0,0,0,0,0
"Neurl3",4.81867117813194,6.22304283256037,5.42663749858936,9.23107600108612,10.4021504878967,3.11180553852328,5.37157641208657,2.24759003436771,4.68008636878494,9.47490411852985,3.59403406931785,2.87766032218392
"Arid5a",3.84750905046851,3.7034196386773,3.77723266904724,4.33068935005576,5.0149748104007,3.54116776648505,3.79157829329152,3.2347680795181,2.64974147825782,4.27432945243536,4.01295467042164,2.56575651094272
"Kansl3",36.7397838868145,31.605814713038,29.5571937611163,32.8403287760571,29.786582239102,34.5201361799513,37.7946412293718,44.0364311509148,34.0995529025628,29.9812760815723,37.525010982718,30.5742955554919
"Mir6898",0,0,0,0,0,0,0,0,0,0.947362043012469,0,0
"Fer1l5",0.999714958460081,1.17841996103512,1.12991008063544,0.844712715415092,0.630290756731343,1.24430615703897,1.14026806972548,1.3964181034352,1.02684117209138,0.894805791655098,1.15930825294575,1.02487119721919
"Lman2l",13.5257667603864,11.9776193720456,15.0819949046464,12.4379247692759,11.1514723278589,14.6559416086245,12.3318069940693,16.7236924633823,15.3213617597355,11.7862482668088,14.603085394907,16.686143211451
"Cnnm4",3.38133235916589,3.19145547369642,3.18424066411461,3.17488927283037,3.1134484733269,3.00831757664259,3.69778333654537,4.08043069772796,3.70240590799549,3.12038148257184,3.21566735046453,4.21441846912092
"Cnnm3",10.4014636069831,9.38801210525491,9.91261842337146,9.75985072832377,10.6687716505667,10.6968257259524,11.2123122631268,10.9284991515331,9.47322831629111,9.20983667747064,9.42288742602211,8.57233374080806
"Ankrd23",2.41482716195722,3.45854800027851,2.64005863718076,2.44492413368431,2.64263154825479,3.22946424198452,3.32276683163606,3.60274848705606,2.61900411549399,3.88253594700299,2.72417846743683,1.94121143150161
"Ankrd39",3.68212648058919,4.08316578212191,3.64696416647665,5.27751684690229,4.77784794556306,4.44122803051823,5.30358726495495,3.83926056033264,4.48981701198904,4.06394977185892,4.33950342673068,3.60404356579172
"Sema4c",14.4439417778012,12.6467027307684,11.4152679865657,12.3567498009606,15.2764087968867,9.21387280295717,11.6461894812545,7.10847782429984,10.161208796908,13.1158753664399,7.93073540381074,6.40083222354897
"Fam178b",0.0433874414916593,0.04458638388969,0.0405666204831595,0.117273774632868,0.0511018141196852,0.0274452947969571,0.0692416577957082,0,0.0784265154442162,0.0851851428321838,0.0497287167804272,0
"Cox5b",57.6574362862333,47.1724202750248,62.8224380866154,48.1073924158295,57.9880155811349,50.8666222106391,55.9593068172482,69.4127513496372,79.2455418766813,52.3063724837956,59.947400000318,90.5674672821774
"Actr1b",48.7636544993725,44.8169508069896,48.1439163583903,44.0962943753869,49.2170420905198,46.8292511020229,51.4718214468858,50.2686689775713,44.8741417565268,47.1854259357816,48.2431362110709,49.8622364800031
"4933424G06Rik",0.0329672692079482,0,0,0.0381894190685559,0.0388289146623695,0.0938424520852477,0.0789182869907606,0,0.0357546971031396,0,0,0.0339968194559092
"Zap70",0.0409637402396445,0.154350927641645,0.0191502477069527,0.142357691147506,0.209071087364342,0.0777364524072578,0.0653736930823868,0.0839999921689831,0.0148090935814915,0.388728306146057,0.172152861386511,0.0281620106775521
"Tmem131",29.9366366842484,30.1982892629366,28.990348636329,29.7293137962519,28.5630785717581,26.2086051190369,30.9962057634172,28.2598346287239,30.1601190220377,26.4972736234724,36.5947130967206,28.2911116481558
"Cnga3",0.0096957495817739,0,0,0,0,0,0,0,0,0,0,0.00999854267401086
"Inpp4a",10.9233090448231,8.61249911979604,9.58783961795377,10.0650887214514,7.57676377589748,11.8401334604131,12.2992571909361,11.558806922414,10.9949269061864,7.90431520587453,12.2703785269422,8.86705045049023
"Coa5",32.8441583957998,34.2559542583037,36.8883456356889,33.5667787608158,33.4716706057858,32.8436108849704,32.6331612310922,33.2015515396431,36.7897687358494,33.0074231234206,31.4365624278287,36.4988955782322
"Unc50",31.8651771339944,30.2580189371848,29.7073642553454,32.0357567493385,29.7209767455285,31.283719477241,31.085225784662,26.5470910095295,29.6508993179976,30.7389461760738,30.068416947283,30.0111498389883
"Mgat4a",16.9399387099247,13.6062894234999,13.4743028575244,16.9225684805597,9.62591338919628,21.6693925748095,16.3138063099326,19.0265091074848,18.3555620779468,10.3268472708215,21.4889208662359,14.3883813928427
"4930594C11Rik",0.0134860662059374,0,0.0189139107116582,0.0468669422398503,0.0158839153627914,0.0255923638233694,0.0807086292546163,0,0.043878994884107,0.0397169930918113,0.185485406038356,0.0834433731981335
"2010300C02Rik",1.03087539556989,0.367712424438567,0.382355048919924,0.671103948575522,0.160551017929797,0.541615051173658,0.927954913885741,0.870021106692027,1.00715759143338,0.551994256201487,1.05460000979615,0.702855593245762
"Tsga10",2.61198207671524,2.0998530726049,2.20542440217108,1.60548975257794,1.39170369384439,2.12431306886806,1.90344605326484,3.00598250312032,2.87137063684864,2.02339497087216,1.9347269207472,2.54696497284865
"Lipt1",1.60085243126878,1.86607158331375,1.80953215213723,1.82675586440986,2.22318634027958,1.88169706548899,1.88749196879317,2.55756477764461,2.48769915690217,2.34555875601158,2.4646895191431,2.51322854259459
