GSM356334	GSM356337	GSM356335	GSM356336
0610009B22Rik	9.561112	9.478971	9.316696	10.295487
0610009L18Rik	3.803636	4.571823	2.988485	3.803636
0610010K14Rik	6.845795	6.83216	6.320928	7.144708
0610030E20Rik	2.552013	2.552013	2.552013	2.552013
0610039K10Rik	2.321928	2.321928	2.321928	2.321928
0610040J01Rik	8.719854	8.41395	8.187868	7.765166
1110004F10Rik	8.390407	8.39153	9.133638	8.486175
1110017D15Rik	2.321928	2.321928	2.321928	2.321928
1110032A03Rik	9.416124	9.166582	8.448152	9.311669
1110032F04Rik	2.321928	2.321928	2.321928	2.321928
1110038F14Rik	5.692188	5.958768	5.766442	5.830539
1110059E24Rik	7.583558	7.785236	7.492037	7.583558
1110059G10Rik	8.976498	8.940366	9.440572	9.204963
1190005I06Rik	2.321928	2.321928	2.321928	2.321928
1500011B03Rik	2.321928	2.321928	2.321928	2.321928
1500035N22Rik	2.321928	2.321928	3.062953	2.321928
1600012H06Rik	8.075671	7.926401	7.999475	8.324347
1600012P17Rik	2.321928	2.321928	2.322005	2.321928
1600014C10Rik	6.652028	6.652028	6.652028	6.656786
1600029I14Rik	2.321928	2.321928	2.321928	2.321928
1600029O15Rik	2.321928	2.321928	2.321928	2.321928
1700001C19Rik	2.321928	2.321928	2.321928	2.321928
1700001K19Rik	2.321928	2.321928	2.321928	2.321928
1700001L19Rik	2.321928	2.321928	2.321928	2.321928
1700001O22Rik	2.321928	2.321928	2.321928	2.321928
1700001P01Rik	2.321928	2.321928	2.321928	2.321928
1700003E16Rik	2.321928	2.321928	2.321928	2.321928
1700003F12Rik	2.321928	2.321928	2.321928	2.321928
1700003H04Rik	2.321928	2.321928	2.321928	2.321928
1700006A11Rik	2.321928	2.321928	2.321928	2.321928
1700008O03Rik	2.321928	2.321928	2.321928	2.321928
1700008P02Rik	2.321928	2.321928	2.321928	2.321928
1700009N14Rik	2.321928	2.321928	2.321928	2.321928
1700010I14Rik	2.321928	2.321928	2.321928	2.321928
1700011L22Rik	2.321928	2.321928	2.321928	2.321928
1700012A03Rik	2.321928	2.321928	2.321928	2.321928
1700012B07Rik	2.321928	2.321928	2.321928	2.321928
1700012B09Rik	2.321928	2.321928	2.321928	2.321928
1700012D01Rik	2.321928	2.321928	2.321928	2.321928
1700013G24Rik	2.321928	2.321928	2.321928	2.321928
1700013H16Rik	2.321928	2.321928	2.321928	2.321928
1700016C15Rik	6.72026	5.683777	7.371962	8.57171
1700016D06Rik	2.321928	2.321928	2.321928	2.321928
1700016H13Rik	2.321928	2.321928	2.321928	2.321928
1700016K19Rik	2.321928	2.321928	2.321928	2.321928
1700017B05Rik	5.946179	5.946179	7.471011	5.946179
1700017G19Rik	2.321928	2.321928	2.321928	2.321928
1700017N19Rik	2.321928	2.321928	2.321928	2.321928
1700018A04Rik	2.321928	2.321928	2.321928	2.321928
1700018B08Rik	2.321928	2.321928	2.321928	2.321928
1700018B24Rik	2.321928	2.321928	2.321928	2.321928
1700019A02Rik	2.321928	2.321928	2.321928	2.321928
1700019D03Rik	2.321928	2.321928	2.321928	2.321928
1700019N19Rik	2.321928	2.321928	2.321928	2.321928
1700020A23Rik	2.321928	2.321928	2.321928	2.321928
1700020L24Rik	2.321928	2.321928	2.321928	2.321928
1700020N01Rik	2.321928	2.321928	2.321928	2.321928
1700021F07Rik	2.321928	2.321928	2.321928	2.321928
1700022A21Rik	2.321928	2.321928	2.321928	2.321928
1700028I16Rik	2.321928	2.321928	2.321928	2.321928
1700028J19Rik	6.687954	6.78839	5.4833	6.244951
1700029H14Rik	2.321928	2.321928	2.321928	2.321928
1700029I15Rik	2.321928	2.321928	2.321928	2.321928
1700029J07Rik	2.321928	2.321928	2.321928	2.321928
1700030J22Rik	2.321928	2.321928	2.321928	2.321928
1700030K09Rik	2.64696	2.523193	2.900094	2.64696
1700034E13Rik	2.321928	2.321928	2.321928	2.321928
1700034J05Rik	2.321928	2.321928	2.321928	2.321928
1700037C18Rik	2.321928	2.321928	2.321928	2.321928
1700037H04Rik	5.371719	5.362123	5.362123	5.354388
1700048O20Rik	2.321928	2.321928	2.321928	2.321928
1700056E22Rik	2.321928	2.321928	2.321928	2.321928
1700057G04Rik	2.321928	2.321928	2.321928	2.321928
1700061I17Rik	2.321928	2.321928	2.321928	2.321928
1700063H04Rik	2.321928	2.321928	2.321928	2.321928
1700067K01Rik	5.378422	5.573676	4.59158	5.417499
1700069L16Rik	2.321928	2.321928	2.321928	2.321928
1700084J12Rik	2.321928	2.321928	2.321928	2.321928
1700086L19Rik	2.321928	2.321928	2.321928	2.321928
1700088E04Rik	6.329092	5.876719	5.522765	5.476565
1700093K21Rik	2.321928	2.321928	2.321928	2.321928
1700102P08Rik	2.321928	2.321928	2.321928	2.321928
1700109H08Rik	2.321928	2.321928	2.321928	2.321928
1700113H08Rik	2.321928	2.321928	2.321928	2.321928
1700123K08Rik	2.321928	2.321928	2.321928	2.321928
1700123L14Rik	2.321928	2.321928	2.321928	2.321928
1700123O20Rik	8.902655	8.618944	8.246122	8.718068
1700125H20Rik	2.321928	2.321928	2.321928	2.321928
1700128F08Rik	2.321928	2.321928	2.321928	2.321928
1700129C05Rik	2.321928	2.321928	2.321928	2.321928
1810009A15Rik	7.907512	8.012569	7.350456	8.250187
1810013D15Rik	2.321928	4.034093	3.903336	2.321928
1810030O07Rik	6.767614	6.832166	6.627064	6.859858
1810037I17Rik	10.486328	10.454007	10.839658	10.606141
1810046K07Rik	2.321928	2.321928	2.321928	2.321928
1810055G02Rik	3.49106	2.321928	2.321928	2.321928
1810058I24Rik	6.202958	6.246628	6.202958	6.202958
1810062G17Rik	2.321928	2.321928	2.321928	2.321928
1810065E05Rik	2.321928	2.321928	2.321928	2.321928
2010003K11Rik	2.321928	2.321928	2.321928	2.321928
2010106E10Rik	2.321928	2.321928	2.321928	2.321928
2010109A12Rik	2.321928	2.321928	2.321928	2.321928
2200002D01Rik	6.986273	5.956316	6.288488	4.604266
