GSM864204	GSM864205	GSM864206	GSM864207	GSM864208	GSM864209	GSM864210	GSM864211	GSM864212	GSM864213	GSM864214	GSM864215
A1CF	4.83086	4.71023	4.73295	4.83631	4.92798	4.74453	4.86001	4.75141	4.71776	4.66106	4.95613	4.61306
A2M	5.67545	5.65672	5.52513	5.67926	5.67235	5.54876	5.5298	5.58428	5.61487	5.58658	5.65933	5.63486
A2ML1	5.19007	4.87603	5.12852	4.96541	5.23713	5.11506	5.13474	5.09676	4.79885	4.98638	5.10537	5.14034
A3GALT2	5.5542	5.43013	5.2369	5.27533	5.35239	5.46804	5.41605	5.23297	5.36092	5.49862	5.43818	5.37332
A4GALT	5.56768	5.57816	5.75768	5.23725	5.4885	5.57282	5.72577	5.59841	5.58386	5.5472	6.3339	5.90918
A4GNT	4.72659	4.40864	4.47786	4.85359	4.48483	4.55072	4.88854	4.60347	4.47928	4.58147	4.83743	4.73438
AAAS	10.4008	10.3216	10.3948	9.8188	10.3102	10.2332	10.2273	10.0802	10.3453	10.3379	11.3608	10.4537
AACS	7.11045	7.27477	7.16409	6.86873	6.74738	6.91433	7.05564	6.99544	7.29792	7.03807	7.19637	7.30819
AADAC	2.92082	2.8613	3.19333	3.82925	2.9673	2.70343	2.80004	2.90638	2.87887	2.75771	2.96188	2.82156
AADACL2	3.88235	3.64778	3.66486	4.11501	3.69964	3.36807	3.46735	3.53416	3.88124	3.7854	3.84842	3.66123
AADACL3	4.98855	4.96895	5.17835	5.31818	5.45636	5.11607	5.33207	5.45448	4.65584	5.029	5.33103	4.98502
AADACL4	3.77376	4.23152	3.64666	5.00703	3.95008	4.1482	4.05197	3.78133	3.70956	4.38812	4.45077	4.13607
AADAT	8.76892	9.05212	8.94092	9.0903	8.82656	8.85165	8.91403	8.72942	8.89378	8.95722	7.02119	8.88582
AAGAB	8.0558	8.09284	7.96413	7.60993	7.98013	8.11393	8.23241	8.02834	7.96345	7.95696	7.72914	7.84493
AAK1	9.19796	9.19923	9.10258	9.04601	9.04039	9.03472	9.16117	9.05177	8.98399	9.06961	8.82315	9.08255
AAMDC	8.30089	8.29204	8.29223	7.89106	8.26145	8.27674	8.2032	8.40378	8.33015	8.3488	8.46371	8.40418
AAMP	6.75738	6.67967	6.78	6.51602	6.64899	6.7488	6.72986	6.63144	6.80343	6.62603	8.05108	6.81012
AANAT	5.85867	5.8645	5.86033	5.62804	5.77152	5.8732	5.69473	5.68309	5.68025	5.78221	6.29768	5.96326
AAR2	7.2086	6.92358	7.07967	6.85971	7.04841	7.01432	7.00591	7.05545	7.0323	7.08522	8.14844	7.21814
AARD	6.00481	6.35635	6.44466	6.17202	6.15767	6.06925	6.2492	6.25103	6.16907	6.06114	6.70747	6.38426
AARS1	9.62738	9.6147	9.64217	9.09596	9.46991	9.52115	9.49992	9.37978	9.50959	9.44346	10.0162	9.53617
AARS2	6.55064	6.71188	6.58768	6.52705	6.27551	6.49339	6.38953	6.50391	6.60529	6.60083	7.22108	6.55132
AASDH	8.37646	8.52827	8.53991	8.60704	8.38941	8.38148	8.45489	8.38754	8.48245	8.45811	6.25694	8.39944
AASDHPPT	8.81763	8.89102	8.8787	8.81376	8.90684	8.93131	8.82665	8.82044	8.90713	8.94245	7.54851	8.82761
AASS	9.2693	9.57633	9.39157	9.47283	9.31952	9.36968	9.47444	9.32802	9.39128	9.41791	7.70397	9.35085
AATBC	5.56844	5.61708	5.69309	6.16331	5.38306	5.63406	5.54336	5.58278	5.45279	5.84014	6.27505	5.61924
AATF	10.0713	10.0148	9.99473	9.65171	10.0467	10.0577	10.1294	10.0004	9.98152	9.95418	9.97302	10.003
AATK	6.17493	6.22961	6.35022	6.33917	6.44182	6.48455	6.18813	6.35749	6.26721	6.28276	7.00976	6.48574
ABAT	6.7302	6.90428	6.75719	6.52849	7.04466	6.92011	6.75457	6.98842	6.70453	6.78601	7.01493	6.74936
ABCA1	5.08395	5.21352	5.21667	5.13327	4.98603	4.82669	4.93585	5.07051	5.04569	5.06553	5.0063	5.22784
ABCA10	3.81192	3.68721	3.89742	4.66192	3.97307	3.96932	4.09576	3.77572	4.07503	4.03293	3.9859	4.18288
ABCA11P	7.29554	7.50345	7.31196	7.30375	6.9907	7.12858	7.27259	7.17365	7.11042	7.31301	4.73546	6.91884
ABCA12	5.28385	5.17986	5.37322	5.24419	5.28014	5.32267	5.22897	5.31487	5.38284	5.17416	5.16402	5.28081
ABCA13	4.79829	4.85699	4.6333	4.88202	4.72483	4.794	4.76155	4.79712	4.64255	4.7882	5.07965	4.87908
ABCA2	6.2545	6.42926	6.18233	6.34522	6.12638	6.19763	6.16555	6.14589	6.36245	6.26745	7.55178	6.42303
ABCA3	6.29974	6.17972	6.09102	5.33196	6.32345	6.44709	6.14314	6.11425	6.36831	6.1268	7.55448	6.17591
