	GSM356334	GSM356335	GSM356336	GSM356337
Hey1	6.37961423722536	6.56797486316576	6.37961423722536	6.50787962961628
Cldn11	3.66391301446287	3.63055078283748	3.59797138190226	3.78034356996138
Ywhah	9.77752308988497	9.60727506361273	9.35199672968181	9.3881588745368
Mdk	9.11892509628281	8.76332521424164	9.38425320405254	9.03786676423569
Tspan3	10.9812949171198	10.5639454856173	10.9080814669717	10.6580339665229
Pld3	9.42723737835978	8.98962409174514	9.02574899108233	9.26637727528061
Fgg	10.2669428776347	13.003781234418	8.76462975750356	8.45396120117102
Pdcd6	11.1242400191238	11.1383978313444	10.8274438858523	10.8584874852718
Klf10	7.40014378128	8.07400090004361	7.84042332657801	7.34198729579801
Lipf	4.3916949794225	4.21640639403244	4.14645032780771	4.1702166644176
Sgk1	12.0493859165111	12.3839885395852	10.6606240555308	11.2407105295666
Gldc	11.0411866065775	11.9120595992921	10.8558069142919	10.3751431426548
Prps1	9.21385946914997	9.21209947267056	8.96410850967355	8.94287670790536
Rps5	12.7028774557072	12.6790107584572	12.4775605302023	12.6053852960699
Sec23b	9.96421538625426	9.72948489697934	10.0931841795172	9.73771913965685
Cd9	10.5162674568564	11.020640331017	10.0715453701136	10.3091816697587
Ifrd1	7.92615085812387	9.07069555745242	7.21600699441623	7.65099781636703
Kars	9.12603196798756	8.95390790738834	8.78579973840217	9.03029734882798
Cd34	8.21081836092586	7.56010450207002	8.04186818758348	8.18888069133514
Rpl28	13.0375057710191	12.619542346672	12.586574390535	12.9495689609346
Arpc1a	9.64841676132261	8.4902406459894	9.32952467210736	9.53064231313092
Tpst2	8.75070894636437	8.95118952933901	8.51262247226597	8.51262247226597
Ap1s1	9.33952227067974	8.61173157375865	9.18156443898237	9.29122510366554
Mrpl20	9.569172669563	9.32865872396187	9.77296627138258	9.26540678834869
Adam9	10.4542924208136	10.3202101455519	10.5359157794117	10.2444934141244
Eif3d	10.3623135581475	10.4726116089959	10.4010129053246	10.3686744550198
Mpdu1	9.18239749049499	9.03900874871042	9.4631110023653	9.29833665723655
Kti12	8.53046017887167	7.90244245641316	8.57785600578839	7.91683539056918
Cd83	6.23271314446992	7.71106721616096	6.31555022332036	6.19689279086649
Fkbp8	9.54972716942839	8.97844653850143	9.29643452975843	9.64532540551925
Sparcl1	9.3938342546302	9.31651092167326	8.79043482486869	9.0463868075396
Polr1b	7.8421625565454	7.39817494346755	7.59783006091583	7.67281045084433
Reg2	5.37091134265514	5.77896364430087	5.81763639655125	5.60603496762957
Rps6	8.45520443934906	7.80685263164582	7.72601463006926	8.50805733436743
Atp5j	12.5346160858643	12.034403220027	12.5357418121555	12.3048811060132
Olig1	4.93144463713452	5.16715371559947	4.99714989392556	4.90809645790626
Hmgb3	9.21255931173894	9.46388337041447	8.93282247589773	9.12749297613842
Cops4	9.37346835855743	8.98119195875729	9.1169293831782	8.97023372772925
Trap1	10.962409760123	10.5050293900376	11.1361396431792	10.8582294920679
Rbbp9	7.25210398876613	6.09086286478955	6.99750794376327	6.98048512777163
Vdac3	11.2733815885521	10.7732037747968	11.4566374853514	11.3590587834155
Rbmxl1	9.37679722657273	9.16740863968632	9.08869502103929	9.13890996985544
Plekhb1	7.79234194010549	7.32015408304201	7.61285479173895	8.2720394207452
Apba3	9.10280746497246	7.40726444396183	8.47669305911678	8.67849496313256
Car1	4.70860261621064	4.75575841328638	4.89713145198401	4.78530707095708
Cyp4b1	12.0416081673786	13.2342070993237	13.8835173628591	11.9236744825879
Nelfcd	8.03600943452042	7.60710930050566	7.93090524623704	7.91884869637811
Kifc3	9.32740929420429	8.5102313951098	9.02307586774171	9.062282199168
Il33	8.13114279316584	7.77459026863869	7.42601418479908	7.48431933172932
